ticker,company_name,market_cap,52_week_delta,dividend_payout_ratio,forward_eps,g_revenue,gross_margin_pct,ebitda_margin_pct,price_to_forward_earnings,price_to_book,debt_to_equity,return_on_assets,return_on_equity,largest_institutional_owner,recommendation
AIR,AAR Corp.,1570516172.9999998,0.09914327,0.1266,2.96,0.161,0.1598,0.07353,15.172,1.7004923,31.776,0.04381,0.08952,Blackrock Inc.,buy
AAN,"Aaron's, Inc.",3888089220.0,0.3396529,0.0481,4.49,0.011,0.47809,0.16108999,12.895,2.0817604,38.634,0.11479,0.11031,Blackrock Inc.,strong_buy
ABT,Abbott Laboratories,149328765102.08,0.18260014,0.6739,3.6,0.055,0.58817,0.2471,23.456,4.693458,62.466,0.042150002,0.10468,"Vanguard Group, Inc. (The)",buy
ANF,Abercrombie & Fitch Company,1111740255.0,-0.08914518,1.0811,1.23,0.003,0.59667,0.08201,14.402,1.1303599,177.051,0.02849,0.05461,Blackrock Inc.,hold
ABMD,"ABIOMED, Inc.",8117080776.0,-0.43863928,0.0,4.95,0.128,0.82834,0.32333001,36.315,8.202227,1.281,0.15436,0.2475,"Vanguard Group, Inc. (The)",buy
ABM,ABM Industries Incorporated,2519266284.0,0.3841132,0.5417,2.1,0.015,0.1107,0.04759,18.079,1.676381,62.297,0.03365,0.059660003,Blackrock Inc.,buy
AXAS,Abraxas Petroleum Corporation,43093560.0,-0.82782316,0.0,0.13,-0.242,0.70211,0.89269996,1.968,0.2484466,117.485,0.10757,0.41933998,Blackrock Inc.,buy
ACIA,"Acacia Communications, Inc.",2779420005.0,0.6403531,0.0,2.23,0.261,0.48071998,0.08283,30.202,5.0141454,3.744,0.022809999,0.054759998,"Vanguard Group, Inc. (The)",hold
ACTG,Acacia Research Corporation,146499003.0,-0.12079513,0.0,-0.01,-0.875,0.3808,-0.00825,-291.0,0.84938705,0.0,-0.0187,-0.15476,"Renaissance Technologies, LLC",none
ACHC,"Acadia Healthcare Company, Inc.",2832783872.0,0.02532053,0.0,2.34,0.021,0.40615,0.18184,13.675,1.1587486,152.148,0.0374,-0.08179,Price (T.Rowe) Associates Inc,buy
ACAD,ACADIA Pharmaceuticals Inc.,7132743354.528,1.5521832,0.0,-1.3,0.622,0.16854,-0.84745,-35.622,10.316106,1.49,-0.31179002,-0.5428,"Baker Brothers Advisors, LLC",buy
AKR,Acadia Realty Trust,2300233043.68,-0.050750554,2.3830001,0.38,0.13,0.69991994,0.58151,69.618,1.5084388,83.147,0.0078799995,-6.0000002e-05,Blackrock Inc.,buy
AXDX,"Accelerate Diagnostics, Inc.",863937450.0,0.103302956,0.0,-1.49,0.676,0.44594002,0.0,-10.611,84.545456,1284.961,-0.26700002,-1.9437399,Oracle Investment Management Inc,buy
XLRN,Acceleron Pharma Inc.,2664706360.0,0.037837863,0.0,-2.12,0.292,-0.26365,0.0,-23.679,5.7273245,5.984,-0.21519,-0.34702,"FMR, LLC",buy
ACCO,Acco Brands Corporation,891791787.0,0.29915738,0.25,1.31,-0.003,0.32075,0.14074,7.019,1.1652515,133.381,0.04778,0.12968001,"Vanguard Group, Inc. (The)",none
ARAY,Accuray Incorporated,247933511.0,-0.28211588,0.0,-0.06,-0.065,0.38594002,0.0255,-46.417,6.015119,539.613,0.00374,-0.37647998,Blackrock Inc.,buy
ACIW,"ACI Worldwide, Inc.",4177747860.0,0.33063626,0.0,1.22,0.445,0.5344,0.19253,29.623,3.944123,140.432,0.041300002,0.09819,Blackrock Inc.,strong_buy
ACRS,"Aclaris Therapeutics, Inc.",72636642.0,-0.7811736,0.0,-1.8,-0.121,-1.09125,0.0,-0.975,0.85152835,40.36,-0.54845,-1.45322,Man Group PLC,buy
ACU,Acme,71980957.916,0.43588042,0.32,1.65,0.065,0.36553,0.0825,13.014,1.307667,79.54,0.044260003,0.0954,North Star Investment Management Corp,strong_buy
ACOR,"Acorda Therapeutics, Inc.",81171038.0,-0.9096164,0.0,-1.44,-0.666,0.76628,-0.4394,-1.174,0.28537658,136.338,-0.06835,-0.74781996,Blackrock Inc.,hold
AGN,Allergan plc,60924330444.479996,0.21584201,0.0,16.96,0.036,0.85328,0.44942,10.949,1.0418911,39.456,0.00627,-0.14329,"Vanguard Group, Inc. (The)",hold
ATVI,"Activision Blizzard, Inc",42865064914.56,0.13596487,0.1754,2.5,-0.152,0.67098,0.33918998,22.318,3.5029507,24.111,0.07116,0.14231,"Vanguard Group, Inc. (The)",buy
ATU,Actuant Corporation,1344082086.0,-0.07354218,0.0,1.0,-0.475,0.44696,0.14252,21.87,4.3906846,152.881,0.03502,0.018760001,Blackrock Inc.,hold
AYI,"Acuity Brands, Inc.",5259372178.500001,0.14328694,0.0627,10.6,-0.116,0.40346,0.15024,12.522,2.7013798,18.584,0.09404001,0.18175,Blackrock Inc.,buy
ADES,"Advanced Emissions Solutions, I",194532838.5,-0.0037914515,0.5556,4.08,2.717,0.48549,0.05819,2.565,1.7677364,52.456,-0.00764,0.35779998,Blackrock Inc.,strong_buy
ADMP,Adamis Pharmaceuticals Corporat,32505666.119999997,-0.8133803,0.0,-0.16,0.54,0.29448998,-1.64395,-3.296,0.80642205,10.559,-0.37535998,-0.74258006,683 Capital Management LLC,hold
ADUS,Addus HomeCare Corporation,1450749132.0,0.2606883,0.0,3.05,0.233,0.27012,0.07038,30.57,3.0575502,16.746,0.03901,0.0552,Blackrock Inc.,strong_buy
IOTS,Adesto Technologies Corporation,219084572.0,0.56118155,0.0,0.26,0.461,0.4684,-0.03452,27.846,3.3800187,95.404,-0.05483,-0.38874,"Nokomis Capital, L.L.C.",buy
ADNT,Adient plc,2172000332.7999997,0.18985438,8.4615,2.28,-0.054,0.04847,0.02438,10.175,1.1753381,166.875,0.0049900003,-0.16307,Blackrock Inc.,hold
ADBE,Adobe Inc.,147416580306.24,0.25793767,0.0,9.75,0.237,0.85156,0.33507,31.234,14.416986,40.394,0.10644,0.2908,"Vanguard Group, Inc. (The)",buy
ADTN,"ADTRAN, Inc.",435219330.0,-0.22627121,0.0,0.06,-0.187,0.40647,-0.022090001,151.667,1.1019617,11.222,-0.03001,-0.11602,Blackrock Inc.,hold
ADRO,"Aduro Biotech, Inc.",95812250.24,-0.57857144,0.0,-0.78,0.567,0.0,0.0,-1.526,1.1678116,41.221,-0.16009001,-0.74477994,Blackrock Inc.,buy
AAP,Advance Auto Parts Inc Advance ,10838403506.0,-0.08786178,0.0387,9.0,0.016,0.43897998,0.099309996,17.388,3.119195,92.284,0.0454,0.12493,"Vanguard Group, Inc. (The)",buy
ADSW,"Advanced Disposal Services, Inc",2937388132.9999995,0.28331375,0.0,0.6,0.047,0.35337,0.23725,54.758,3.1790032,206.542,0.01607,-0.00098,Canada Pension Plan Investment Board,hold
WMS,"Advanced Drainage Systems, Inc.",2554419329.0,0.5057472,0.0,1.86,0.22,0.26044,0.16314,20.116,5.126747,145.108,0.06179,-0.27191,Berkshire Partners LLC,buy
AEIS,"Advanced Energy Industries, Inc",2521069332.0,0.55742025,0.0,3.47,0.012,0.46703,0.13934,18.954,3.8220592,69.076,0.03338,0.10357001,Blackrock Inc.,buy
AMD,"Advanced Micro Devices, Inc.",45935873310.72,0.94747376,0.0,1.1,0.09,0.41524,0.092480004,35.782,20.15361,51.057,0.046350002,0.12663001,"Vanguard Group, Inc. (The)",buy
ASIX,AdvanSix Inc.,544710486.0,-0.19826227,0.0,2.22,-0.157,0.13126999,0.110419996,8.791,1.2854037,96.794,0.0533,0.15544,Blackrock Inc.,buy
ADXS,"Advaxis, Inc.",11732730.719999999,-0.85315317,0.0,-1.55,-0.995,1.0,-1.2097499,-0.405,0.24546877,0.0,-0.30029,-0.60586,"Renaissance Technologies, LLC",buy
ADVM,"Adverum Biotechnologies, Inc.",747929040.0,2.0380435,0.0,-1.14,-0.7,0.0,0.0,-10.158,4.5536766,16.7,-0.17341,-0.32241002,RTW Investments LP,hold
ACM,AECOM,6713070210.0,0.5037327,0.0,3.69,-0.036,0.04032,0.045560002,11.581,1.8235546,87.269,0.02868,-0.045,Primecap Management Company,buy
AEGN,Aegion Corp,660400024.0,0.22826087,0.0,1.47,-0.091,0.1985,0.07044,14.605,1.5316023,84.969,0.031159999,-0.01853,Blackrock Inc.,hold
AEHR,Aehr Test Systems,45595705.0,0.100000024,0.0,0.2,0.167,0.3808,-0.1303,10.025,2.9747775,17.611,-0.07854,-0.24744,"AWM Investment Company, Inc.",none
AERI,"Aerie Pharmaceuticals, Inc.",990585277.5000001,-0.47465664,0.0,-2.32,1.54,0.54315,0.0,-9.218,4.702067,96.36,-0.30042,-0.82035005,"Wellington Management Company, LLP",buy
ACY,AeroCentury Corp.,7945823.199999999,-0.55622315,0.0,1.3,2.22,0.98687,0.76248,3.954,0.26383328,400.156,0.07169,-0.36733,Dimensional Fund Advisors LP,none
AJRD,"Aerojet Rocketdyne Holdings, In",3456148423.6800003,0.22787678,0.0,1.95,-0.034,0.19715999,0.14912,22.523,5.990997,122.287,0.05143,0.28907,Blackrock Inc.,buy
AVAV,"AeroVironment, Inc.",1453350548.0,-0.14861113,0.0,1.83,0.141,0.43143,0.15866,33.104,2.935931,1.863,0.053740002,0.08375,Blackrock Inc.,buy
AES,The AES Corporation,12716870261.76,0.19150293,0.7493,1.44,-0.075,0.23438999,0.31117,13.302,4.049683,368.895,0.04216,0.13411,"Vanguard Group, Inc. (The)",buy
AMG,"Affiliated Managers Group, Inc.",4090578044.0,-0.16142517,0.0,14.08,-0.087,0.58457,0.38064998,5.896,1.3439963,45.01,0.055760004,0.02262,Edgepoint Investment Group Inc.,hold
AFL,AFLAC Incorporated,39016725939.520004,0.23257434,0.2635,4.45,-0.007,0.33733,0.20086999,11.945,1.3273817,28.609,0.01857,0.11573,"Vanguard Group, Inc. (The)",hold
MITT,"AG Mortgage Investment Trust, I",511434726.0,-0.121484876,195.0,1.77,0.352,0.86311996,0.0,8.825,0.9102034,462.498,0.00455,0.02543,Blackrock Inc.,hold
AGCO,AGCO Corporation,5781609982.72,0.36636698,0.1542,5.59,-0.048,0.22034,0.09064999,13.695,1.9524854,65.473,0.043080002,0.103199996,"Vanguard Group, Inc. (The)",hold
A,"Agilent Technologies, Inc.",25605285000.0,0.15625453,0.19469999,3.79,0.056,0.54328996,0.22834998,21.864,5.3927503,50.695,0.06537,0.22985001,Blackrock Inc.,buy
AGYS,"Agilysys, Inc.",582945440.0,0.62894905,0.0,-0.12,0.191,0.51715,-0.060510002,-205.333,5.820931,15.108,-0.045149997,-0.118140005,Blackrock Inc.,buy
AGIO,"Agios Pharmaceuticals, Inc.",3025052595.52,-0.20390743,0.0,-6.63,0.712,-2.55769,0.0,-6.673,5.811006,25.741,-0.32005,-0.66349,"FMR, LLC",buy
AGNC,AGNC Investment Corp.,9344358726.4,-0.030760586,0.0,2.19,-0.943,0.0,0.0,7.888,0.98337793,889.768,-0.00978,-0.0995,Blackrock Inc.,hold
ADC,Agree Realty Corporation,3070686720.0000005,0.1833849,1.2712001,1.81,0.412,0.88163,0.81047,40.0,2.053493,63.398,0.02781,0.055770002,Blackrock Inc.,buy
AL,Air Lease Corporation,5242990080.0,0.3266232,0.105900005,6.24,0.178,0.65152,0.0,7.455,0.95986795,252.972,0.03549,0.11278,"Vanguard Group, Inc. (The)",buy
APD,"Air Products and Chemicals, Inc",50605033380.0,0.46944237,0.5768,10.55,-0.007,0.33001998,0.37293997,21.76,4.577759,29.221,0.07356,0.16038,"Vanguard Group, Inc. (The)",buy
ATSG,"Air Transport Services Group, I",1341802680.0,0.30871737,0.0,1.55,0.786,0.41601002,0.31059998,14.581,2.768251,312.866,0.04597,0.20152001,"Vanguard Group, Inc. (The)",strong_buy
AYR,Aircastle Limited,2395793001.6,0.81869686,0.4317,2.6,0.241,0.61539,0.0,12.346,1.1753505,255.181,0.040510003,0.10663,Dimensional Fund Advisors LP,hold
AIRG,"Airgain, Inc.",95515253.0,-0.09963429,0.0,0.18,-0.168,0.44532,0.08073,54.722,2.0057015,0.0,0.042129997,0.0468,"Blair (William) & Company, L.L.C.",buy
AKS,AK Steel Holding Corporation,1075923200.0,0.19855595,0.0,0.14,-0.115,0.13079001,0.09031,24.286,8.0,488.86,0.04938,0.33463,Blackrock Inc.,hold
AKAM,"Akamai Technologies, Inc.",13566403278.4,0.25014865,0.0,4.78,0.06,0.65649,0.28404,17.563,3.8758078,63.033,0.056929998,0.13608,"Vanguard Group, Inc. (The)",buy
AKBA,"Akebia Therapeutics, Inc.",760045770.0,-0.33183354,0.0,-1.55,0.73,0.02418,-0.50835997,-4.123,1.624301,7.207,-0.20445,-0.8039,"Baupost Group, Inc,.(The) LLC",buy
AKER,Akers Biosciences Inc.,1551986.1,-0.907197,0.0,0.14,-0.245,0.31744,0.0,21.25,0.4312219,0.0,-0.46063,-1.12862,Candriam Luxembourg S.C.A.,none
AKRX,"Akorn, Inc.",472416770.0,-0.16367716,0.0,0.28,0.064,0.32387,-0.04889,13.375,1.5119095,276.392,-0.043309998,-0.74873,Blackrock Inc.,hold
ALG,"Alamo Group, Inc.",1389921533.0,0.48774326,0.0793,7.84,0.055,0.2491,0.12008,14.991,2.4879866,28.845,0.0804,0.13345,"Longview Asset Management, LLC",strong_buy
ALRM,"Alarm.com Holdings, Inc.",2030812044.0,-0.14157164,0.0,1.46,0.143,0.64103997,0.16021,28.637,6.0410347,31.525,0.079840004,0.16117,"Technology Crossover Management VII, Ltd.",buy
ALK,"Alaska Air Group, Inc.",8290774630.0,0.071045995,0.2785,6.97,0.08,0.27701,0.16166,9.657,1.9515234,78.857,0.050679997,0.15193,"Vanguard Group, Inc. (The)",buy
ALSK,Alaska Communications Systems G,89589604.0,0.14189196,0.0,0.11,0.015,0.53994,0.24759,15.364,0.5301129,152.008,0.02695,0.0232,"Renaissance Technologies, LLC",none
AIN,Albany International Corporatio,2497445000.0,0.20137763,0.192,3.98,0.076,0.37113997,0.24373,20.44,3.9850104,69.999,0.08196,0.19038999,Blackrock Inc.,hold
ALB,Albemarle Corporation,6928726385.0,-0.27313566,0.2667,4.94,0.131,0.35524,0.27139,13.228,1.8059587,51.471,0.05982,0.16743,"Vanguard Group, Inc. (The)",hold
ALBO,"Albireo Pharma, Inc.",270224580.0,-0.19842213,0.0,-6.42,4.844,1.0,0.0,-3.318,2.657517,4.761,-0.22386,-0.59629,Perceptive Advisors Llc,strong_buy
ABDC,Alcentra Capital Corp.,116781692.0,0.415748,1.3585,0.62,-0.145,1.0,0.0,14.629,0.82604736,58.786,0.0444,0.04809,Stilwell Value LLC,hold
AA,Alcoa Corporation,3840433069.44,-0.28495765,0.0,0.9,-0.243,0.20368999,0.15369001,22.994,0.8461098,30.64,0.042090002,-0.04279,Capital Research Global Investors,hold
ALEX,"Alexander & Baldwin, Inc.",1514529692.16,0.071465015,0.0,0.57,-0.262,0.39813998,0.36924,36.772,1.3465245,66.681,0.05179,-0.1428,"Vanguard Group, Inc. (The)",buy
ALX,"Alexander's, Inc.",1660482124.8,0.039915442,1.6559,23.63,-0.023,0.60325,0.57323,13.759,6.335522,371.881,0.04508,0.19853,"Vanguard Group, Inc. (The)",none
ARE,Alexandria Real Estate Equities,18651007470.0,0.29134858,3.8627,2.93,0.137,0.71339,0.62649,55.28,2.3705122,78.186,0.01677,0.020680001,"Vanguard Group, Inc. (The)",buy
ALXN,"Alexion Pharmaceuticals, Inc.",24969919610.88,-0.018927157,0.0,11.25,0.23,0.92039,0.50315,9.899,2.3771,27.673,0.08826,0.15052,"FMR, LLC",buy
ALGN,"Align Technology, Inc.",21554961435.0,0.26216185,0.0,6.45,0.202,0.72239995,0.24598,42.402,16.509417,4.371,0.14134,0.33532003,"Vanguard Group, Inc. (The)",buy
ALKS,Alkermes plc,3383572560.0,-0.36581093,0.0,0.58,0.026,0.82959,-0.07423,37.034,3.1672072,27.426,-0.0588,-0.18115,Price (T.Rowe) Associates Inc,hold
Y,Alleghany Corporation,11374737124.0,0.28095293,0.0,45.86,-0.008,0.32645,0.04954,17.232,1.2894804,21.484,0.00664,0.01687,Blackrock Inc.,buy
ATI,Allegheny Technologies Incorpor,2991997050.0,-0.03497356,0.0,1.75,-0.001,0.14875,0.104449995,13.56,1.3800523,71.148,0.03162,0.11694,Blackrock Inc.,buy
ABTX,"Allegiance Bancshares, Inc.",763649129.12,0.07478011,0.0,2.46,0.506,0.0,0.0,14.917,1.0773377,0.0,0.01313,0.1008,Blackrock Inc.,hold
ALGT,Allegiant Travel Company,2804292386.0,0.37062156,0.2139,16.77,0.11,0.35756,0.24577999,10.266,3.332204,166.477,0.07665,0.28797,Blackrock Inc.,buy
ALE,"Allete, Inc.",4109672720.0000005,-0.023897946,0.608,3.82,-0.172,0.32625,0.28882998,20.822,1.8614557,74.644,0.024230001,0.091120005,Blackrock Inc.,hold
ADS,Alliance Data Systems Corporati,4779247268.38,-0.41115016,0.1826,20.8,0.01,0.24589,0.22208999,4.989,3.1957715,1506.373,0.03007,0.37639,"Vanguard Group, Inc. (The)",buy
ARLP,"Alliance Resource Partners, L.P",1301800800.0,-0.47721457,0.65540004,1.42,-0.066,0.34256,0.30365,7.155,0.97401977,56.223,0.0735,0.33215,"Goldman Sachs Group, Inc.",hold
AB,AllianceBernstein Holding L.P.,2753516844.9792,0.057543278,1.0439,2.86,-0.084,1.0,0.0,10.04,1.894991,0.0,0.10406999,0.14842,Meiji Yasuda Life Insurance Company,buy
LNT,Alliant Energy Corporation,12706208480.0,0.15106666,0.6278,2.41,0.066,0.38529,0.3533,21.936,2.556953,126.876,0.028369999,0.10684,"Vanguard Group, Inc. (The)",buy
AMOT,"Allied Motion Technologies, Inc",437084357.6,-0.1343928,0.070199996,2.26,0.207,0.30153,0.11698,20.146,3.8408976,118.044,0.06501,0.15090999,Blackrock Inc.,strong_buy
ALSN,"Allison Transmission Holdings, ",5733818790.0,0.11638737,0.1165,4.31,-0.033,0.52566004,0.40762,11.158,7.7364864,347.241,0.13562,0.90259004,"Vanguard Group, Inc. (The)",buy
MDRX,Allscripts Healthcare Solutions,1615541700.0,0.014256597,0.0,0.76,0.027,0.47366002,0.07351,13.092,1.2676774,81.05,0.0066799996,-0.13834,"Wellington Management Company, LLP",buy
ALL,Allstate Corporation (The),35910522600.0,0.33669555,0.2613,10.29,0.058,0.23852,0.100880004,10.773,1.5603884,27.437,0.019609999,0.10544,Blackrock Inc.,buy
ALLY,Ally Financial Inc.,11949369108.48,0.29561305,0.16299999,4.2,0.035,0.94803,0.0,7.486,0.8344614,285.557,0.009190001,0.118319996,"Vanguard Group, Inc. (The)",buy
ALNY,"Alnylam Pharmaceuticals, Inc.",13566660650.0,0.57399917,0.0,-7.2,32.862,0.91394997,0.0,-16.901,8.429274,18.955,-0.25541002,-0.53246,"FMR, LLC",buy
AOSL,Alpha and Omega Semiconductor L,299301070.0,0.24057078,0.0,1.49,0.024,0.24181,0.057439998,8.181,1.027998,35.606,-0.0074199997,-0.03627,Dimensional Fund Advisors LP,hold
GOOG,Alphabet Inc.,460719079278.39996,0.29244387,0.0,54.25,0.2,0.55632997,0.28421,24.72,4.7522445,7.628,0.08545,0.17883,"Vanguard Group, Inc. (The)",buy
ATEC,"Alphatec Holdings, Inc.",402836278.0,1.7272725,0.0,-0.65,0.269,0.67619,-0.24669,-10.1,6.9105263,67.019,-0.1345,-0.78160006,Next Century Growth Investors LLC,buy
RESI,Front Yard Residential Corporat,687515180.0,0.36524463,0.0,-1.42,0.051,0.36060002,0.21708,-8.986,1.8999405,447.766,-0.010980001,-0.25725,"Vanguard Group, Inc. (The)",buy
AIMC,Altra Industrial Motion Corp.,2159260928.0,0.24720776,0.73120004,2.72,0.938,0.35718,0.20566,12.294,1.1549753,90.212,0.061079998,0.07436,"Vanguard Group, Inc. (The)",buy
MO,"Altria Group, Inc.",93611996705.28,-0.053036034,3.4839,4.45,0.023,0.63756,0.54479,11.261,8.876883,261.362,0.13619,0.13483,"Vanguard Group, Inc. (The)",buy
AMAG,"AMAG Pharmaceuticals, Inc.",370360536.0,-0.3965227,0.0,-1.53,-0.312,0.59727,-0.28698,-7.137,0.77058786,58.353,-0.06091,-0.46227002,Blackrock Inc.,hold
AMZN,"Amazon.com, Inc.",861085341795.84,0.06610477,0.0,27.1,0.237,0.41105998,0.1288,64.087,15.213739,132.001,0.05218,0.2373,"Vanguard Group, Inc. (The)",buy
AMBA,"Ambarella, Inc.",1734162300.0,0.32600832,0.0,0.57,0.186,0.58424,-0.20317,92.026,3.9236293,2.399,-0.06446,-0.0849,"Vanguard Group, Inc. (The)",hold
AMC,"AMC Entertainment Holdings, Inc",424452815.0,-0.42447555,0.0,-0.52,0.078,0.16759,0.13096,-15.673,0.7152887,866.788,0.01192,0.02871,Janus Henderson Group PLC,buy
AMED,Amedisys Inc,5380184040.0,0.28688657,0.0,4.84,0.185,0.40879002,0.099589996,34.463,8.926469,53.69,0.11115,0.24340001,Blackrock Inc.,buy
AEE,Ameren Corporation,18312012900.0,0.0529629,0.5846,3.46,-0.038,0.47441003,0.40599,21.512,2.271146,116.638,0.030150002,0.10099,"Vanguard Group, Inc. (The)",buy
AMRC,"Ameresco, Inc.",473820192.0,0.112092376,0.0,0.96,0.032,0.21816,0.11608,17.0,1.909442,119.448,0.028789999,0.07474,"Wellington Management Company, LLP",strong_buy
AAT,"American Assets Trust, Inc.",2832968250.0,0.1434741,1.4545,1.03,0.195,0.64751,0.55576,45.874,2.15066,105.203,0.026519999,0.05006,Blackrock Inc.,buy
ACC,American Campus Communities Inc,6590767846.272,0.10726559,2.4156,0.72,0.067,0.53638,0.50811,66.619,1.9769195,108.453,0.01658,0.03034,"Vanguard Group, Inc. (The)",buy
AEO,"American Eagle Outfitters, Inc.",2603165760.0,-0.21413934,0.36180001,1.58,0.079,0.44419998,0.124460004,9.566,2.0788062,131.684,0.08303001,0.21483,Blackrock Inc.,hold
ECOL,"US Ecology, Inc.",1258809305.0,-0.086817265,0.3172,2.23,0.106,0.30573,0.20343,25.565,3.2614417,97.764,0.050180003,0.13600999,Parametric Portfolio Associates,buy
AEP,American Electric Power Company,45367021440.0,0.15751004,0.6218,4.4,-0.004,0.41669,0.33337003,20.874,2.3008995,148.201,0.026530001,0.10882,"Vanguard Group, Inc. (The)",buy
EL,"Estee Lauder Companies, Inc. (T",44005010811.84,0.44006383,0.3379,6.65,0.105,0.77365994,0.21531,29.734,15.744087,133.743,0.12118,0.42056,"FMR, LLC",buy
AXP,American Express Company,98945408245.01761,0.13867092,0.1935,9.0,0.084,0.68338996,0.0,13.436,4.3116455,269.498,0.03692,0.31813,"Berkshire Hathaway, Inc",buy
AFG,"American Financial Group, Inc.",9982505340.0,0.18327463,0.22129999,8.88,0.058,0.16825001,0.15121001,12.466,1.5784069,42.778,0.00847,0.11196999,Blackrock Inc.,buy
AMH,American Homes 4 Rent,7842486260.0,0.2660594,0.7407,0.27,0.065,0.54171,0.49795,96.796,1.4758866,47.229,0.016929999,0.02493,"Vanguard Group, Inc. (The)",buy
AIG,"American International Group, I",44455852128.0,0.37510014,0.6275,5.04,0.124,0.2742,0.21546,10.139,0.68269145,52.283,0.00669,0.043319996,Price (T.Rowe) Associates Inc,buy
AMNB,"American National Bankshares, I",421305202.99999994,0.14471304,0.5455,2.95,0.366,0.0,0.0,12.851,1.3283577,0.0,0.008669999,0.06925,Blackrock Inc.,buy
APEI,"American Public Education, Inc.",403278858.0,-0.0908463,0.0,1.06,-0.07,0.61798,0.13586001,24.708,1.3608023,3.547,0.04022,0.04383,Blackrock Inc.,buy
ARC,"ARC Document Solutions, Inc.",51393552.00000001,-0.51304346,0.0,0.18,-0.063,0.32709998,0.120129995,6.222,0.35978156,106.679,0.027609998,0.02497,"Renaissance Technologies, LLC",none
AMRB,American River Bankshares,86733528.0,0.0013605356,0.2529,1.1,0.115,0.0,0.0,13.364,1.0384289,0.0,0.00736,0.06622,"Basswood Capital Management, L.L.C.",buy
AMSWA,"American Software, Inc.",453811200.0,0.44056606,2.0,0.22,0.006,0.53395003,0.07893,69.818,4.1190667,2.158,0.0185,0.061100002,"Brown Capital Management, Inc.",buy
AWR,American States Water Company,3168916586.0,0.29393208,0.5136,2.2,0.083,0.54346,0.34837002,39.1,5.3174257,82.091,0.05171,0.14161,Blackrock Inc.,underperform
AMSC,American Superconductor Corpora,165853110.0,-0.27834105,0.0,-0.68,-0.058,0.20955,-0.27075002,-11.206,2.1629293,4.778,-0.11136,0.062119998,Blackrock Inc.,buy
LRAD,LRAD Corporation,109515504.0,0.3399999,0.0,0.14,0.18,0.48969,0.056209996,24.0,3.15197,0.935,0.01602,0.01212,"AWM Investment Company, Inc.",strong_buy
AMT,American Tower Corporation (REI,93017400000.0,0.2795595,1.0028,4.54,0.094,0.71656996,0.62664,46.256,17.74548,445.952,0.05377,0.24746999,"Vanguard Group, Inc. (The)",buy
AVD,American Vanguard Corporation,496874728.0,0.08448851,0.1356,0.73,0.117,0.39189997,0.11587,22.548,1.4695115,52.461,0.030840002,0.05271,Blackrock Inc.,buy
AWK,"American Water Works Company, I",22139636720.0,0.25672078,0.5442,3.91,0.038,0.56549,0.4941,31.322,3.5766017,149.499,0.03441,0.10539,"Vanguard Group, Inc. (The)",buy
AMWD,American Woodmark Corporation,1771342620.0,0.74045026,0.0,8.31,0.007,0.20982,0.14367,12.597,2.6245456,105.462,0.05776,0.13859001,Blackrock Inc.,buy
